Location,Size,Bedroom,Bath,Price,Date of Sale
San Diego,1650,5,3,208000,3 months ago
Van Nuys,1600,4,3,220000,5 months ago
Pasadena,2050,4,3,193000,3 months ago
Van Nuys,1850,4,3,234000,4 months ago
San Diego,2150,5,3,213000,1 month ago
San Diego,2050,5,3,173000,2 months ago
Riverside,1150,2,2.5,166000,1 month ago
Van Nuys,2650,4,4,301000,1 month ago
Riverside,2850,4,4,313000,2 months ago
San Diego,2000,3,3,171000,6 months ago
San Diego,2750,5,4,416000,6 months ago
Burbank,2250,3,3,229000,5 months ago
Riverside,1800,4,3,225000,2 months ago
Long Beach,2600,4,4,336000,2 months ago
Long Beach,1850,4,3,202000,6 months ago
San Diego,1450,3,2.5,158000,5 months ago
Long Beach,1900,4,3,152000,5 months ago
Pasadena,2150,5,3,209000,3 months ago
San Diego,1150,3,2.5,174000,1 month ago
San Diego,3150,7,4.5,477000,5 months ago
Van Nuys,2300,5,3,199000,3 months ago
Van Nuys,2850,6,4,365000,4 months ago
Riverside,2600,4,4,411000,3 months ago
Long Beach,1800,3,3,179000,2 months ago
Long Beach,1550,4,3,215000,5 months ago
Long Beach,1950,4,3,170000,2 months ago
Burbank,1400,3,2.5,165000,1 month ago
Burbank,2250,3,3,236000,4 months ago
Riverside,1650,5,3,215000,2 months ago
Long Beach,1650,5,3,178000,2 months ago
Long Beach,3350,7,4.5,471000,4 months ago
Burbank,3100,8,4.5,463000,1 month ago
Pasadena,1150,3,2.5,166000,4 months ago
Pasadena,1900,3,3,239000,2 months ago
Riverside,3300,6,4.5,455000,5 months ago
Long Beach,2650,6,4,332000,4 months ago
San Diego,2200,5,3,246000,4 months ago
Burbank,1250,3,2.5,157000,5 months ago
Pasadena,2000,3,3,183000,3 months ago
Long Beach,1850,4,3,205000,1 month ago
Long Beach,2050,3,3,181000,5 months ago
San Diego,1700,4,3,228000,5 months ago
Van Nuys,2500,5,4,413000,1 month ago
Van Nuys,1750,4,3,200000,5 months ago
Riverside,1550,3,3,150000,6 months ago
Riverside,2150,4,3,182000,1 month ago
Van Nuys,1950,4,3,181000,2 months ago
Riverside,1350,3,2.5,151000,2 months ago
Long Beach,1750,3,3,204000,1 month ago
Long Beach,1350,3,2.5,141000,1 month ago
Burbank,1600,5,3,196000,4 months ago
Van Nuys,1650,5,3,152000,4 months ago
Riverside,1250,3,2.5,165000,4 months ago
San Diego,2550,4,4,313000,3 months ago
San Diego,1150,3,2.5,163000,5 months ago
San Diego,2300,5,3,169000,1 month ago
Burbank,2600,4,4,330000,3 months ago
Burbank,2400,5,4,382000,2 months ago
Long Beach,1650,4,3,215000,6 months ago
San Diego,2550,5,4,315000,3 months ago
Riverside,1800,4,3,242000,3 months ago
San Diego,3300,7,4.5,485000,2 months ago
Long Beach,1350,2,2.5,150000,3 months ago
Long Beach,3300,7,4.5,444000,6 months ago
Long Beach,1300,3,2.5,154000,6 months ago
Van Nuys,1650,3,3,238000,6 months ago
San Diego,3400,8,4.5,417000,3 months ago
San Diego,2650,4,4,318000,2 months ago
Van Nuys,1800,5,3,209000,4 months ago
Van Nuys,2250,4,3,156000,1 month ago
Burbank,2050,5,3,221000,3 months ago
San Diego,3400,6,4.5,426000,4 months ago
Long Beach,1500,3,2.5,142000,3 months ago
Pasadena,1150,2,2.5,171000,6 months ago
San Diego,2900,5,4,284000,4 months ago
Van Nuys,1400,3,2.5,168000,5 months ago
Van Nuys,2950,8,4.5,436000,3 months ago
San Diego,1300,2,2.5,149000,1 month ago
Van Nuys,2700,5,4,323000,5 months ago
Van Nuys,3050,5,4.5,488000,4 months ago
Burbank,1750,3,3,213000,2 months ago
San Diego,3300,5,4.5,452000,5 months ago
Riverside,3200,6,4.5,457000,2 months ago
Burbank,2600,5,4,410000,2 months ago
Pasadena,2800,5,4,420000,2 months ago
Riverside,3050,6,4.5,514000,1 month ago
Long Beach,1300,3,2.5,142000,4 months ago
Burbank,1250,2,2.5,164000,5 months ago
Long Beach,1700,3,3,218000,4 months ago
Long Beach,2100,5,3,163000,4 months ago
Pasadena,2900,5,4,327000,3 months ago
Pasadena,1350,2,2.5,172000,2 months ago
Long Beach,3150,6,4.5,445000,3 months ago
San Diego,3000,6,4.5,507000,3 months ago
Riverside,2300,3,3,222000,2 months ago
Van Nuys,2200,3,3,181000,1 month ago
Riverside,2200,3,3,182000,4 months ago
Pasadena,2050,3,3,197000,1 month ago
San Diego,3200,8,4.5,414000,5 months ago
Van Nuys,2300,5,3,168000,6 months ago
Riverside,3300,5,4.5,509000,1 month ago
Pasadena,2600,6,4,371000,2 months ago
San Diego,2850,5,4,431000,3 months ago
Van Nuys,3250,8,4.5,450000,2 months ago
Long Beach,3050,6,4.5,484000,1 month ago
Burbank,3200,8,4.5,515000,5 months ago
Long Beach,1450,3,2.5,144000,3 months ago
Burbank,3300,8,4.5,449000,6 months ago
Long Beach,3150,8,4.5,451000,5 months ago
Burbank,3150,5,4.5,444000,1 month ago
Van Nuys,1550,4,3,222000,4 months ago
Van Nuys,2750,4,4,385000,1 month ago
Riverside,3350,8,4.5,465000,4 months ago
Riverside,2450,4,4,354000,1 month ago
Van Nuys,2700,5,4,316000,1 month ago
Burbank,2200,5,3,176000,4 months ago
Long Beach,1250,2,2.5,156000,6 months ago
Burbank,1300,3,2.5,168000,4 months ago
Long Beach,1900,4,3,235000,2 months ago
Burbank,1650,3,3,218000,1 month ago
Long Beach,1400,3,2.5,142000,5 months ago
Burbank,1150,3,2.5,163000,1 month ago
Riverside,1150,2,2.5,158000,6 months ago
Riverside,1200,2,2.5,146000,1 month ago
Riverside,3200,7,4.5,506000,1 month ago
Long Beach,2100,4,3,210000,5 months ago
Riverside,1100,2,2.5,156000,6 months ago
Long Beach,1400,3,2.5,153000,6 months ago
Long Beach,2950,8,4.5,445000,5 months ago
Long Beach,3400,8,4.5,496000,2 months ago
Pasadena,1400,2,2.5,174000,1 month ago
Van Nuys,2300,3,3,209000,5 months ago
Burbank,2950,5,4.5,435000,6 months ago
Riverside,1150,2,2.5,172000,5 months ago
Van Nuys,1400,2,2.5,151000,3 months ago
Long Beach,2750,4,4,307000,4 months ago
San Diego,1450,3,2.5,165000,4 months ago
Burbank,1300,2,2.5,150000,4 months ago
Pasadena,2550,5,4,379000,4 months ago
Pasadena,3000,8,4.5,438000,4 months ago
Pasadena,1350,2,2.5,158000,6 months ago
Van Nuys,1250,3,2.5,161000,4 months ago
Pasadena,2100,4,3,176000,2 months ago
Riverside,2800,4,4,316000,5 months ago
Van Nuys,2700,6,4,253000,3 months ago
Van Nuys,2500,6,4,347000,5 months ago
Long Beach,2900,6,4,390000,4 months ago
San Diego,2600,5,4,316000,6 months ago
Van Nuys,1550,5,3,181000,1 month ago
Van Nuys,3350,5,4.5,506000,1 month ago
Long Beach,2150,5,3,179000,2 months ago
Burbank,1850,5,3,176000,4 months ago
San Diego,2650,5,4,237000,3 months ago
Long Beach,1450,3,2.5,152000,4 months ago
Burbank,2900,5,4,251000,5 months ago
Long Beach,3100,5,4.5,487000,6 months ago
Van Nuys,3150,6,4.5,492000,1 month ago
Burbank,3150,8,4.5,410000,2 months ago
Riverside,1650,5,3,163000,5 months ago
San Diego,2800,6,4,250000,5 months ago
Long Beach,2700,6,4,404000,1 month ago
Long Beach,1750,4,3,186000,6 months ago
Van Nuys,2500,5,4,261000,4 months ago
Riverside,2800,6,4,336000,2 months ago
San Diego,1850,5,3,231000,2 months ago
Pasadena,2550,5,4,278000,3 months ago
Van Nuys,2850,5,4,399000,3 months ago
Riverside,2700,6,4,369000,2 months ago
Pasadena,2200,4,3,200000,3 months ago
Pasadena,3250,8,4.5,511000,4 months ago
Riverside,1200,3,2.5,143000,5 months ago
Riverside,3400,5,4.5,413000,6 months ago
Burbank,1900,5,3,190000,5 months ago
Riverside,2700,6,4,302000,3 months ago
Van Nuys,3300,5,4.5,510000,1 month ago
San Diego,2600,4,4,240000,5 months ago
Long Beach,1200,2,2.5,175000,5 months ago
Burbank,3000,5,4.5,450000,2 months ago
Burbank,2650,4,4,236000,6 months ago
Riverside,1450,3,2.5,140000,2 months ago
Burbank,1750,4,3,207000,4 months ago
Pasadena,3100,7,4.5,465000,6 months ago
Van Nuys,3000,8,4.5,501000,6 months ago
San Diego,1250,2,2.5,168000,3 months ago
Riverside,2600,4,4,303000,2 months ago
San Diego,2300,3,3,176000,1 month ago
Burbank,2050,4,3,192000,6 months ago
Long Beach,2300,4,3,198000,3 months ago
Burbank,1100,2,2.5,157000,3 months ago
Long Beach,1650,3,3,239000,2 months ago
Riverside,2250,5,3,188000,6 months ago
Riverside,1750,5,3,150000,5 months ago
Long Beach,2600,4,4,434000,4 months ago
Riverside,2850,6,4,329000,4 months ago
Pasadena,2000,3,3,177000,5 months ago
Burbank,3150,8,4.5,471000,1 month ago
Pasadena,3350,8,4.5,520000,1 month ago
Long Beach,2900,4,4,428000,6 months ago
Van Nuys,1950,5,3,242000,1 month ago
Riverside,1900,5,3,178000,4 months ago
Long Beach,1850,5,3,215000,5 months ago
Long Beach,3300,7,4.5,515000,6 months ago
Van Nuys,3100,7,4.5,426000,3 months ago
Van Nuys,2150,3,3,170000,3 months ago
Pasadena,2550,5,4,234000,6 months ago
Riverside,2700,5,4,248000,4 months ago
Burbank,1550,4,3,237000,4 months ago
Burbank,1650,5,3,202000,2 months ago
Pasadena,2950,6,4.5,495000,1 month ago
San Diego,2000,5,3,212000,4 months ago
Long Beach,3050,8,4.5,514000,6 months ago
Pasadena,1100,3,2.5,152000,3 months ago
Van Nuys,2100,5,3,194000,5 months ago
Van Nuys,1200,2,2.5,146000,3 months ago
Riverside,2100,4,3,170000,2 months ago
San Diego,2550,5,4,385000,4 months ago
Van Nuys,1600,5,3,205000,1 month ago
San Diego,1200,3,2.5,162000,6 months ago
San Diego,1400,3,2.5,151000,4 months ago
San Diego,1550,5,3,167000,6 months ago
Van Nuys,2600,6,4,328000,3 months ago
San Diego,1350,2,2.5,175000,1 month ago
Van Nuys,2400,4,4,327000,6 months ago
Riverside,2850,6,4,367000,6 months ago
Pasadena,2100,4,3,202000,1 month ago
Pasadena,3350,7,4.5,433000,5 months ago
Burbank,3100,8,4.5,439000,5 months ago
Pasadena,1300,3,2.5,153000,3 months ago
Riverside,2650,6,4,334000,6 months ago
Pasadena,2950,6,4.5,505000,3 months ago
Long Beach,2350,4,4,417000,5 months ago
San Diego,3300,6,4.5,492000,5 months ago
Pasadena,1250,2,2.5,167000,5 months ago
Van Nuys,2600,5,4,291000,5 months ago
Van Nuys,2050,4,3,199000,2 months ago
San Diego,2800,6,4,395000,5 months ago
Riverside,2800,6,4,239000,4 months ago
San Diego,2750,4,4,255000,5 months ago
Van Nuys,1250,2,2.5,146000,6 months ago
Pasadena,3000,6,4.5,497000,2 months ago
Long Beach,1800,3,3,163000,4 months ago
Pasadena,2800,5,4,338000,2 months ago
Burbank,2400,4,4,242000,6 months ago
Burbank,2850,5,4,295000,6 months ago
Burbank,1450,3,2.5,144000,1 month ago
Long Beach,1700,4,3,183000,2 months ago
Van Nuys,3000,6,4.5,473000,2 months ago
Van Nuys,3200,6,4.5,439000,5 months ago
Long Beach,2400,4,4,291000,6 months ago
San Diego,2300,4,3,176000,4 months ago
Pasadena,1800,3,3,157000,3 months ago
Burbank,3000,5,4.5,464000,3 months ago
Riverside,2700,6,4,237000,4 months ago
Long Beach,2550,5,4,377000,1 month ago
Riverside,3400,6,4.5,485000,6 months ago
Burbank,3350,6,4.5,434000,2 months ago
Long Beach,2750,4,4,364000,4 months ago
Burbank,1500,3,2.5,164000,6 months ago
Burbank,2150,3,3,230000,5 months ago
Riverside,1200,2,2.5,145000,4 months ago
Pasadena,3100,6,4.5,456000,6 months ago
Pasadena,3350,6,4.5,470000,4 months ago
Burbank,1400,2,2.5,174000,3 months ago
Van Nuys,1350,2,2.5,161000,5 months ago
Burbank,2650,5,4,298000,1 month ago
Long Beach,2600,6,4,236000,3 months ago
Long Beach,1700,5,3,248000,6 months ago
San Diego,1300,3,2.5,155000,6 months ago
Burbank,1350,3,2.5,143000,4 months ago
San Diego,3150,8,4.5,417000,2 months ago
Pasadena,3250,5,4.5,478000,1 month ago
Pasadena,1950,4,3,239000,1 month ago
Riverside,3150,5,4.5,458000,3 months ago
Van Nuys,1250,3,2.5,151000,5 months ago
Riverside,3400,5,4.5,517000,6 months ago
Riverside,3100,6,4.5,458000,2 months ago
Riverside,2300,5,3,236000,2 months ago
Pasadena,2700,5,4,412000,5 months ago
Van Nuys,2700,5,4,429000,6 months ago
Riverside,1700,5,3,228000,2 months ago
Burbank,2000,5,3,213000,1 month ago
Pasadena,2350,6,4,436000,5 months ago
Pasadena,2050,5,3,225000,3 months ago
Burbank,1300,3,2.5,169000,5 months ago
Pasadena,2550,5,4,325000,1 month ago
Riverside,1900,4,3,240000,6 months ago
Riverside,1550,3,3,151000,5 months ago
San Diego,2850,4,4,362000,5 months ago
Long Beach,3100,8,4.5,467000,5 months ago
San Diego,2900,5,4,367000,6 months ago
San Diego,2500,5,4,422000,6 months ago
Long Beach,1350,3,2.5,174000,6 months ago
Riverside,1400,3,2.5,172000,2 months ago
San Diego,3050,7,4.5,470000,5 months ago
Riverside,1950,5,3,175000,2 months ago
Burbank,1300,3,2.5,173000,3 months ago
Van Nuys,1100,3,2.5,153000,4 months ago
Pasadena,1350,3,2.5,148000,1 month ago
Burbank,1250,2,2.5,161000,6 months ago
Riverside,2100,3,3,218000,2 months ago
Burbank,2500,4,4,298000,5 months ago
San Diego,2450,5,4,321000,3 months ago
Pasadena,1300,2,2.5,142000,5 months ago
Long Beach,1650,4,3,151000,3 months ago
Pasadena,1700,3,3,249000,1 month ago
Burbank,3350,6,4.5,436000,2 months ago
Burbank,1250,2,2.5,171000,3 months ago
San Diego,1550,3,3,183000,2 months ago
Long Beach,2650,5,4,253000,2 months ago
Pasadena,1750,5,3,231000,5 months ago
Pasadena,1400,3,2.5,150000,6 months ago
Van Nuys,2900,6,4,326000,6 months ago
Long Beach,1900,3,3,168000,3 months ago
Riverside,2550,5,4,352000,5 months ago
Long Beach,3350,7,4.5,475000,1 month ago
Burbank,3150,6,4.5,476000,5 months ago
Van Nuys,2800,6,4,356000,2 months ago
San Diego,1150,3,2.5,145000,3 months ago
Van Nuys,1300,3,2.5,163000,2 months ago
San Diego,1100,3,2.5,140000,2 months ago
Pasadena,1750,5,3,236000,5 months ago
Pasadena,2600,5,4,341000,5 months ago
Long Beach,3200,6,4.5,504000,5 months ago
Long Beach,2400,5,4,393000,6 months ago
Pasadena,2350,5,4,373000,5 months ago
Long Beach,1250,2,2.5,172000,1 month ago
Long Beach,1800,3,3,238000,6 months ago
Burbank,2700,6,4,261000,1 month ago
Long Beach,3250,5,4.5,423000,5 months ago
San Diego,2750,6,4,301000,1 month ago
Pasadena,2400,4,4,433000,6 months ago
Riverside,2700,5,4,255000,4 months ago
Pasadena,2850,5,4,268000,2 months ago
Long Beach,1900,5,3,185000,1 month ago
Riverside,2350,5,4,321000,4 months ago
Pasadena,3300,7,4.5,508000,6 months ago
Van Nuys,1500,3,2.5,172000,6 months ago
Long Beach,1950,3,3,197000,1 month ago
Burbank,2050,4,3,171000,4 months ago
Riverside,2450,4,4,238000,5 months ago
Burbank,2700,5,4,349000,4 months ago
Pasadena,1850,4,3,217000,1 month ago
San Diego,1300,2,2.5,173000,1 month ago
Van Nuys,2250,5,3,214000,6 months ago
Burbank,1150,3,2.5,156000,3 months ago
Pasadena,2150,5,3,174000,5 months ago
Long Beach,2000,5,3,204000,6 months ago
Van Nuys,1900,3,3,213000,1 month ago
Pasadena,2700,5,4,324000,3 months ago
Van Nuys,2300,3,3,175000,1 month ago
Pasadena,2750,4,4,256000,1 month ago
San Diego,2300,5,3,237000,6 months ago
Van Nuys,1850,5,3,250000,5 months ago
Riverside,3300,7,4.5,476000,6 months ago
San Diego,1200,2,2.5,156000,3 months ago
Riverside,1700,5,3,217000,5 months ago
Pasadena,2600,6,4,396000,6 months ago
Pasadena,1750,4,3,159000,5 months ago
Van Nuys,2150,4,3,212000,6 months ago
Riverside,3350,5,4.5,479000,5 months ago
Pasadena,1800,5,3,184000,5 months ago
San Diego,1900,5,3,198000,1 month ago
Riverside,3200,8,4.5,445000,1 month ago
Long Beach,1650,4,3,161000,1 month ago
Van Nuys,1300,2,2.5,163000,3 months ago
Van Nuys,2800,6,4,437000,1 month ago
Riverside,2450,6,4,273000,4 months ago
San Diego,1950,4,3,232000,4 months ago
Riverside,3350,8,4.5,418000,1 month ago
San Diego,2100,4,3,159000,3 months ago
Van Nuys,1900,5,3,178000,1 month ago
Pasadena,2700,4,4,353000,5 months ago
San Diego,2350,4,4,240000,3 months ago
Van Nuys,2150,4,3,231000,1 month ago
Pasadena,1600,4,3,188000,6 months ago
Riverside,1700,5,3,231000,1 month ago
Long Beach,3350,6,4.5,502000,5 months ago
Long Beach,3150,5,4.5,428000,3 months ago
Long Beach,1850,5,3,162000,1 month ago
Burbank,3300,5,4.5,433000,2 months ago
Long Beach,3350,6,4.5,511000,3 months ago
Van Nuys,2400,6,4,231000,2 months ago
Van Nuys,3000,6,4.5,482000,1 month ago
Van Nuys,2200,3,3,250000,3 months ago
Burbank,2600,5,4,406000,6 months ago
Riverside,2400,5,4,410000,4 months ago
Pasadena,3100,6,4.5,514000,1 month ago
Van Nuys,1400,3,2.5,163000,5 months ago
Long Beach,1750,3,3,239000,1 month ago
San Diego,2950,8,4.5,515000,3 months ago
Burbank,1450,3,2.5,153000,1 month ago
Long Beach,1100,2,2.5,168000,1 month ago
San Diego,2000,4,3,195000,1 month ago
Burbank,2000,4,3,191000,1 month ago
Burbank,1650,3,3,170000,3 months ago
Van Nuys,2950,8,4.5,485000,5 months ago
Pasadena,1400,2,2.5,163000,4 months ago
San Diego,1800,3,3,171000,6 months ago
Burbank,3350,6,4.5,452000,6 months ago
San Diego,2550,5,4,284000,4 months ago
Pasadena,3150,8,4.5,423000,3 months ago
Van Nuys,1650,5,3,206000,3 months ago
San Diego,3400,7,4.5,465000,5 months ago
Pasadena,1550,5,3,169000,2 months ago
Long Beach,3100,7,4.5,483000,4 months ago
Van Nuys,1500,3,2.5,140000,2 months ago
Pasadena,3050,6,4.5,481000,3 months ago
San Diego,1800,5,3,175000,2 months ago
San Diego,2950,6,4.5,462000,3 months ago
San Diego,2950,7,4.5,412000,5 months ago
Burbank,1300,3,2.5,148000,6 months ago
Riverside,1200,3,2.5,161000,6 months ago
Burbank,1300,2,2.5,169000,2 months ago
Van Nuys,1450,2,2.5,159000,5 months ago
Burbank,2400,6,4,319000,2 months ago
Long Beach,1350,2,2.5,163000,5 months ago
Burbank,2300,3,3,196000,5 months ago
Riverside,2050,3,3,168000,2 months ago
Burbank,2200,3,3,250000,2 months ago
Van Nuys,2150,4,3,178000,6 months ago
Pasadena,3000,5,4.5,489000,6 months ago
San Diego,2250,5,3,183000,6 months ago
Riverside,2300,3,3,237000,4 months ago
San Diego,3200,6,4.5,508000,1 month ago
Burbank,2650,6,4,330000,4 months ago
Van Nuys,2250,5,3,245000,4 months ago
Burbank,2450,5,4,276000,5 months ago
Burbank,2700,5,4,423000,5 months ago
Pasadena,2000,3,3,151000,1 month ago
Van Nuys,3050,5,4.5,457000,3 months ago
Burbank,1500,3,2.5,173000,6 months ago
Van Nuys,1550,3,3,208000,3 months ago
Riverside,2700,6,4,408000,4 months ago
Long Beach,1600,4,3,174000,4 months ago
Pasadena,1650,5,3,179000,1 month ago
Burbank,3000,7,4.5,441000,5 months ago
Riverside,1250,2,2.5,159000,4 months ago
Riverside,3300,6,4.5,497000,4 months ago
San Diego,2800,6,4,427000,4 months ago
San Diego,2200,4,3,201000,5 months ago
Van Nuys,2200,5,3,174000,5 months ago
Long Beach,3100,6,4.5,467000,6 months ago
Riverside,2700,5,4,384000,3 months ago
Burbank,2050,3,3,162000,2 months ago
Riverside,1350,3,2.5,147000,6 months ago
San Diego,2700,5,4,413000,2 months ago
Pasadena,1650,4,3,202000,3 months ago
Van Nuys,2200,5,3,153000,1 month ago
Pasadena,1650,4,3,234000,2 months ago
Riverside,1250,2,2.5,162000,5 months ago
Long Beach,1100,3,2.5,173000,1 month ago
Burbank,2700,5,4,343000,3 months ago
Burbank,3150,5,4.5,483000,5 months ago
San Diego,1950,3,3,248000,1 month ago
Burbank,2000,4,3,196000,1 month ago
Long Beach,3050,8,4.5,500000,6 months ago
San Diego,2600,5,4,356000,5 months ago
Pasadena,1600,3,3,248000,5 months ago
Pasadena,1150,2,2.5,158000,3 months ago
San Diego,1650,5,3,215000,1 month ago
Long Beach,1650,3,3,245000,2 months ago
Riverside,2200,5,3,152000,1 month ago
Van Nuys,1350,3,2.5,160000,4 months ago
Pasadena,3400,7,4.5,439000,6 months ago
San Diego,2050,3,3,224000,5 months ago
Van Nuys,1250,2,2.5,166000,1 month ago
San Diego,1850,4,3,180000,4 months ago
Long Beach,2150,5,3,212000,2 months ago
San Diego,1250,2,2.5,155000,1 month ago
Pasadena,2300,3,3,181000,4 months ago
San Diego,3300,8,4.5,495000,6 months ago
Pasadena,3200,7,4.5,453000,6 months ago
Burbank,2650,6,4,434000,5 months ago
Burbank,1700,4,3,176000,3 months ago
Pasadena,3300,6,4.5,457000,4 months ago
Pasadena,2100,5,3,179000,1 month ago
San Diego,2750,4,4,262000,2 months ago
Long Beach,2500,6,4,428000,5 months ago
San Diego,3400,8,4.5,473000,1 month ago
Burbank,2700,4,4,355000,5 months ago
Burbank,3250,5,4.5,510000,1 month ago
Pasadena,1950,3,3,242000,3 months ago
San Diego,2600,6,4,351000,4 months ago
San Diego,3100,8,4.5,451000,5 months ago
Burbank,1350,2,2.5,158000,1 month ago
San Diego,2500,4,4,317000,4 months ago
Long Beach,2100,4,3,220000,4 months ago
Burbank,1150,3,2.5,144000,4 months ago
Burbank,3150,8,4.5,468000,6 months ago
San Diego,3250,8,4.5,411000,6 months ago
Pasadena,2600,6,4,328000,3 months ago
Van Nuys,1100,2,2.5,170000,1 month ago
Burbank,1450,3,2.5,150000,3 months ago
San Diego,1550,3,3,200000,1 month ago
San Diego,2350,6,4,391000,6 months ago
San Diego,2000,4,3,197000,2 months ago
Burbank,2300,4,3,193000,5 months ago
San Diego,2150,4,3,181000,2 months ago
Burbank,3150,7,4.5,517000,5 months ago
Pasadena,1450,3,2.5,157000,5 months ago
Riverside,2150,4,3,194000,1 month ago
Pasadena,2250,4,3,212000,4 months ago
San Diego,2950,7,4.5,500000,4 months ago
Riverside,1750,4,3,176000,2 months ago
Riverside,2100,4,3,226000,1 month ago
Riverside,1700,3,3,174000,6 months ago
Long Beach,1850,3,3,161000,3 months ago
Long Beach,3000,8,4.5,437000,1 month ago
Pasadena,1450,3,2.5,147000,3 months ago
Riverside,1450,2,2.5,174000,3 months ago
Van Nuys,1900,4,3,182000,4 months ago
Pasadena,1700,4,3,249000,6 months ago
San Diego,1200,3,2.5,144000,1 month ago
Burbank,2900,4,4,356000,2 months ago
Pasadena,3000,8,4.5,421000,6 months ago
Van Nuys,2900,4,4,330000,5 months ago
Van Nuys,3400,7,4.5,437000,1 month ago
Burbank,3100,6,4.5,498000,6 months ago
Riverside,1200,3,2.5,149000,1 month ago
Pasadena,2000,3,3,211000,1 month ago
Riverside,2150,5,3,189000,3 months ago
Burbank,1700,3,3,187000,4 months ago
Pasadena,1650,4,3,217000,3 months ago
Burbank,2900,4,4,403000,1 month ago
Pasadena,3200,7,4.5,470000,3 months ago
Pasadena,2450,5,4,433000,4 months ago
